area,date,pixels,median_mm,mean_mm,p10_mm,p90_mm
failure,2015-03-01,530,0.0,0.0,0.0,0.0
failure,2015-04-30,530,-5.367388,-4.280791,-9.7686205,5.9824033
failure,2015-05-24,530,-2.7156692,-0.5044846,-8.576077,14.755279
failure,2015-06-05,530,-3.8241882,-4.1913013,-15.335271,4.9797173
failure,2015-06-17,530,-9.170824,-11.775483,-28.113352,-0.35354537
failure,2015-06-29,530,-2.4272795,-2.0458932,-14.672088,10.604585
failure,2015-09-09,530,-23.509075,-28.75867,-49.527027,-16.029312
failure,2015-09-21,530,-20.092058,-25.325361,-47.186695,-13.223602
failure,2015-10-03,530,-20.020382,-26.901087,-50.799088,-13.194509
failure,2015-10-15,530,-23.48684,-30.25677,-58.4598,-13.208598
failure,2015-10-27,530,-31.390297,-40.072243,-75.47496,-15.721957
failure,2015-12-02,530,-14.59734,-21.268072,-47.821655,-4.184486
failure,2015-12-14,530,-14.4846325,-22.27668,-53.479126,-2.7114935
failure,2015-12-26,530,-8.424675,-16.434511,-51.27845,5.884844
failure,2016-01-07,530,-22.778164,-31.371758,-72.62218,-5.110454
failure,2016-01-19,530,-19.920652,-28.764597,-69.02194,-5.5377135
failure,2016-01-31,530,-25.663136,-34.893192,-76.37501,-9.646099
failure,2016-02-12,530,-20.075401,-29.84489,-67.59978,-5.7721143
failure,2016-02-24,530,-18.683346,-29.319525,-71.090675,-3.1961434
failure,2016-03-07,530,-26.205666,-35.904274,-73.52438,-12.989927
failure,2016-03-19,530,-20.132729,-30.463228,-71.190414,-4.2316275
failure,2016-03-31,530,-21.941933,-34.58346,-76.48428,-8.226154
failure,2016-04-12,530,-17.845165,-30.006365,-71.5697,-4.606576
failure,2016-04-24,530,-21.116186,-34.621937,-82.18189,-3.049365
failure,2016-05-06,530,-20.797913,-33.53437,-79.63875,-3.0776567
failure,2016-05-18,530,-23.433746,-35.73164,-88.35764,-0.25501493
failure,2016-05-30,530,-26.654045,-40.68061,-91.41139,-7.0296016
failure,2016-06-11,530,-18.342337,-33.56399,-83.21201,0.46113572
failure,2016-07-05,530,-27.978376,-45.358734,-103.116165,-4.609443
failure,2016-07-17,530,-25.406448,-43.214314,-102.94824,-1.7147843
failure,2016-07-29,530,-22.611393,-40.159153,-98.2121,-0.2249969
failure,2016-08-10,530,-30.875263,-50.856773,-115.54168,-5.4648323
failure,2016-08-22,530,-22.027412,-41.461533,-101.03817,-0.962542
failure,2016-09-03,530,-28.214867,-47.12889,-115.22517,0.69944096
failure,2016-09-15,530,-25.782215,-45.907043,-111.96569,1.2663368
failure,2016-09-27,530,-21.023613,-42.095104,-107.85109,3.7985127
failure,2016-10-09,530,-17.073046,-39.52067,-106.26309,4.845481
failure,2016-10-15,530,-25.315474,-46.701225,-119.12764,5.4460726
failure,2016-10-21,530,-10.97086,-33.610146,-101.393166,11.667139
failure,2016-11-02,530,-10.926783,-32.93517,-104.23797,17.09939
failure,2016-11-14,530,-9.955571,-32.86031,-107.06755,19.571213
failure,2016-11-26,530,-15.142427,-36.83502,-107.8629,13.845284
failure,2016-12-08,530,-1.6350067,-24.404224,-92.557175,23.434542
failure,2016-12-20,530,-13.765934,-37.2277,-107.06217,12.698892
failure,2017-01-01,530,-9.276283,-33.218243,-104.05346,16.590656
failure,2017-01-13,530,-19.64835,-43.461422,-119.81971,9.862864
failure,2017-01-25,530,-12.906363,-37.482616,-113.85107,15.530906
failure,2017-02-06,530,-19.446617,-45.887947,-121.623146,7.3834023
failure,2017-02-18,530,-18.954018,-43.687912,-118.82704,10.574835
failure,2017-03-14,530,-14.034489,-39.583553,-114.60006,14.38045
failure,2017-03-26,530,-23.066116,-49.065483,-130.9284,8.358014
failure,2017-04-07,530,-14.146421,-41.193184,-116.92365,12.894739
failure,2017-04-19,530,-14.536804,-41.268578,-119.98234,11.050994
failure,2017-05-01,530,-18.284397,-45.736084,-126.7218,9.889071
failure,2017-05-13,530,-15.226469,-43.567135,-125.94538,12.986866
failure,2017-05-25,530,-24.458284,-52.941597,-142.55284,10.441545
failure,2017-06-06,530,-19.360754,-47.49424,-132.62296,11.461635
failure,2017-06-18,530,-18.932156,-48.36222,-137.33235,11.318279
failure,2017-06-30,530,-22.13847,-50.279987,-134.86333,9.750881
failure,2017-07-12,530,-21.61787,-50.160645,-138.054,12.769596
failure,2017-07-24,530,-24.875826,-55.613575,-148.75534,10.527077
failure,2017-08-05,530,-23.140575,-54.13616,-147.34677,12.493654
failure,2017-08-17,530,-20.25761,-51.14122,-141.99658,11.153573
failure,2017-08-29,530,-22.22928,-53.221836,-144.74136,10.234237
failure,2017-09-10,530,-22.275272,-55.80018,-153.96898,11.988359
failure,2017-09-22,530,-25.056055,-57.608055,-158.90431,13.848919
failure,2017-10-16,530,-18.59468,-52.800533,-152.79567,16.48849
failure,2017-10-28,530,-14.762291,-48.702114,-147.17485,18.04809
failure,2017-11-09,530,-19.836071,-56.273094,-162.0418,16.162678
failure,2017-11-21,530,-18.779758,-55.094673,-160.01326,16.694506
failure,2017-12-03,530,-31.257732,-69.18899,-185.74748,10.940699
failure,2017-12-15,530,-27.544558,-63.523937,-174.35106,14.343298
failure,2017-12-27,530,-27.694614,-63.21444,-177.84093,14.624557
failure,2018-01-08,530,-26.375263,-60.324703,-168.96886,14.841512
failure,2018-01-20,530,-32.59194,-68.023605,-179.48581,13.343065
failure,2018-02-01,530,-36.60381,-70.59388,-189.26918,15.712197
failure,2018-02-13,530,-40.385708,-75.105095,-194.67574,12.393539
failure,2018-02-25,530,-48.27816,-78.72273,-195.82034,9.852814
failure,2018-03-09,530,-48.957775,-81.83991,-198.3118,4.321754
failure,2018-03-21,530,-53.912827,-88.2456,-208.93933,4.1967783
failure,2018-04-02,530,-56.103188,-86.72778,-208.75064,5.877
failure,2018-04-14,530,-59.40084,-90.229485,-213.1413,1.9567717
failure,2018-04-26,530,-63.237785,-93.475845,-216.74547,1.3426216
failure,2018-05-08,530,-61.435886,-95.06459,-219.0239,0.15280162
failure,2018-05-20,530,-66.944046,-97.92795,-228.54044,-1.7600163
failure,2018-06-01,530,-73.62486,-105.35594,-240.61938,-4.3448462
failure,2018-06-13,530,-76.238754,-108.092476,-242.642,-4.6607747
failure,2018-06-25,530,-84.261185,-117.58327,-255.7666,-9.5876665
failure,2018-07-07,530,-82.65248,-114.97618,-252.61705,-6.972228
failure,2018-07-19,530,-82.70959,-117.91135,-255.95988,-8.1912775
failure,2018-07-31,530,-94.353546,-130.68336,-274.48465,-15.872433
failure,2018-08-12,530,-92.666595,-127.77593,-275.66342,-9.881212
failure,2018-08-24,530,-96.03542,-129.46529,-274.39914,-13.377422
failure,2018-09-05,530,-95.36597,-126.4883,-269.68216,-12.193154
failure,2018-09-17,530,-97.802795,-129.91435,-277.56766,-11.319269
failure,2018-09-29,530,-95.85033,-131.81148,-286.81674,-9.9866705
failure,2018-10-11,530,-98.68555,-134.94319,-294.15668,-9.98557
failure,2018-10-23,530,-104.5278,-144.48479,-313.3537,-13.713101
failure,2018-11-04,530,-108.09803,-146.97781,-316.93872,-14.438677
failure,2018-11-16,530,-104.961685,-142.00941,-311.29623,-12.453109
failure,2018-11-28,530,-108.81889,-147.41725,-320.754,-13.055236
failure,2018-12-10,530,-113.77272,-153.20552,-331.24805,-15.858005
failure,2018-12-22,530,-114.38274,-156.54144,-338.15234,-15.91892
tsf,2015-03-01,35568,0.0,0.0,0.0,0.0
tsf,2015-04-30,35568,-6.4386353,-7.0693407,-24.29324,9.228931
tsf,2015-05-24,35568,-4.6627865,-5.866666,-26.343546,13.114631
tsf,2015-06-05,35568,-5.5130377,-6.527199,-26.73269,11.605325
tsf,2015-06-17,35568,-8.644875,-11.993804,-38.159,8.183704
tsf,2015-06-29,35568,-4.937874,-6.6085668,-28.04594,11.958291
tsf,2015-09-09,35568,-20.890072,-21.59856,-55.225647,10.160745
tsf,2015-09-21,35568,-18.32609,-19.484144,-56.983112,15.76308
tsf,2015-10-03,35568,-18.569437,-20.716223,-60.62825,15.883133
tsf,2015-10-15,35568,-20.013123,-22.940948,-64.362564,14.126734
tsf,2015-10-27,35568,-21.748772,-24.97242,-68.34421,13.755517
tsf,2015-12-02,35568,-12.271816,-15.689872,-55.66734,19.029556
tsf,2015-12-14,35568,-11.813606,-16.263226,-57.430508,17.565445
tsf,2015-12-26,35568,-8.905615,-14.9017725,-57.792316,17.961405
tsf,2016-01-07,35568,-16.753296,-22.399063,-67.4983,13.259242
tsf,2016-01-19,35568,-15.838848,-21.327913,-64.59342,13.489272
tsf,2016-01-31,35568,-19.450855,-24.921476,-71.303604,12.543516
tsf,2016-02-12,35568,-16.500212,-22.397614,-67.69904,13.822796
tsf,2016-02-24,35568,-13.693547,-20.035105,-65.49608,15.207311
tsf,2016-03-07,35568,-18.748394,-24.907167,-71.88018,12.902312
tsf,2016-03-19,35568,-15.811464,-22.169064,-68.020134,14.138297
tsf,2016-03-31,35568,-18.845364,-25.297176,-73.36479,12.930912
tsf,2016-04-12,35568,-14.77153,-21.199837,-67.37324,15.313936
tsf,2016-04-24,35568,-17.602354,-24.467506,-72.31634,12.779268
tsf,2016-05-06,35568,-15.185402,-22.423973,-70.317635,13.986764
tsf,2016-05-18,35568,-15.490269,-23.151749,-73.39429,15.460201
tsf,2016-05-30,35568,-20.107311,-27.380983,-76.540634,10.722096
tsf,2016-06-11,35568,-14.559302,-22.19778,-70.600395,14.304589
tsf,2016-07-05,35568,-20.692314,-29.232437,-83.64444,10.763033
tsf,2016-07-17,35568,-19.311363,-28.049671,-83.38806,12.962277
tsf,2016-07-29,35568,-17.85191,-26.058226,-79.16219,13.356747
tsf,2016-08-10,35568,-22.959251,-32.2359,-88.952446,9.551017
tsf,2016-08-22,35568,-16.64878,-25.373865,-79.28811,14.98514
tsf,2016-09-03,35568,-20.64928,-30.837013,-91.10748,12.169064
tsf,2016-09-15,35568,-17.957123,-27.560968,-84.84323,13.7457905
tsf,2016-09-27,35568,-17.110228,-26.338007,-81.52262,14.131436
tsf,2016-10-09,35568,-18.51494,-27.486841,-80.703674,11.944032
tsf,2016-10-15,35568,-18.774342,-29.318087,-89.171524,14.0017805
tsf,2016-10-21,35568,-12.19051,-22.167013,-77.90606,17.534925
tsf,2016-11-02,35568,-9.440529,-19.946842,-78.438446,22.046553
tsf,2016-11-14,35568,-10.1833935,-21.29202,-82.56032,22.55721
tsf,2016-11-26,35568,-14.948437,-26.22149,-88.12064,17.594358
tsf,2016-12-08,35568,-5.6678176,-15.570576,-74.63254,28.437141
tsf,2016-12-20,35568,-15.798677,-26.2995,-83.75824,14.92268
tsf,2017-01-01,35568,-9.631546,-20.48176,-79.87318,22.197538
tsf,2017-01-13,35568,-17.582283,-28.827118,-91.285095,15.523594
tsf,2017-01-25,35568,-18.14651,-28.943768,-89.49179,14.683314
tsf,2017-02-06,35568,-19.493658,-31.499966,-96.18743,14.223318
tsf,2017-02-18,35568,-21.964054,-33.026497,-95.29982,11.758394
tsf,2017-03-14,35568,-18.554073,-29.916624,-93.43333,16.00179
tsf,2017-03-26,35568,-23.242683,-35.84148,-103.45878,12.501879
tsf,2017-04-07,35568,-18.619892,-29.872417,-92.953476,14.674605
tsf,2017-04-19,35568,-17.44444,-28.973293,-92.21645,16.337742
tsf,2017-05-01,35568,-21.039066,-32.702282,-96.9436,13.411041
tsf,2017-05-13,35568,-18.130215,-29.918142,-93.91894,16.130976
tsf,2017-05-25,35568,-22.62888,-35.418396,-103.10861,13.408648
tsf,2017-06-06,35568,-21.030123,-33.12886,-97.00869,13.767028
tsf,2017-06-18,35568,-21.48777,-33.76295,-98.74432,13.832179
tsf,2017-06-30,35568,-22.909603,-35.50422,-101.926186,12.394642
tsf,2017-07-12,35568,-22.433723,-35.26053,-102.25976,14.047906
tsf,2017-07-24,35568,-23.86147,-37.227486,-106.38093,12.485596
tsf,2017-08-05,35568,-23.602634,-36.742493,-104.6977,12.893918
tsf,2017-08-17,35568,-21.013977,-33.62521,-99.81656,14.794568
tsf,2017-08-29,35568,-22.202675,-35.125233,-101.669395,13.186189
tsf,2017-09-10,35568,-22.21789,-35.954754,-106.519615,14.1518
tsf,2017-09-22,35568,-24.629185,-39.26459,-113.631615,14.444225
tsf,2017-10-16,35568,-17.18847,-31.980421,-106.33678,20.355297
tsf,2017-10-28,35568,-19.74377,-33.29968,-104.8593,18.026186
tsf,2017-11-09,35568,-20.990885,-35.258476,-108.13266,17.12461
tsf,2017-11-21,35568,-21.849876,-36.383343,-111.51515,16.635159
tsf,2017-12-03,35568,-28.01563,-43.9224,-124.82804,13.519797
tsf,2017-12-15,35568,-24.244604,-40.361496,-120.99761,17.178684
tsf,2017-12-27,35568,-24.586878,-41.324146,-122.602425,15.851676
tsf,2018-01-08,35568,-20.841253,-36.370205,-114.81935,19.680586
tsf,2018-01-20,35568,-26.765488,-42.662865,-121.92551,14.164371
tsf,2018-02-01,35568,-24.841507,-41.40999,-124.30548,17.640476
tsf,2018-02-13,35568,-28.956675,-44.843235,-125.752815,13.429706
tsf,2018-02-25,35568,-25.191921,-41.66429,-123.33928,16.821312
tsf,2018-03-09,35568,-28.489609,-45.323803,-128.65738,14.658554
tsf,2018-03-21,35568,-32.16254,-49.278072,-134.24185,12.365868
tsf,2018-04-02,35568,-29.105667,-46.666454,-133.45772,15.59466
tsf,2018-04-14,35568,-30.651709,-47.88572,-133.12433,13.8518305
tsf,2018-04-26,35568,-29.936104,-48.367973,-135.96649,14.606922
tsf,2018-05-08,35568,-31.033337,-49.547173,-137.44966,13.870963
tsf,2018-05-20,35568,-30.503258,-49.2945,-137.80159,13.556576
tsf,2018-06-01,35568,-33.544456,-53.480305,-146.35478,12.893943
tsf,2018-06-13,35568,-33.812023,-54.431194,-148.97014,12.729449
tsf,2018-06-25,35568,-33.51797,-55.03501,-152.15372,13.97465
tsf,2018-07-07,35568,-32.61972,-54.921932,-153.88683,14.721556
tsf,2018-07-19,35568,-33.72003,-55.88792,-154.6437,14.299079
tsf,2018-07-31,35568,-38.930206,-62.646755,-168.80159,13.093676
tsf,2018-08-12,35568,-35.995003,-60.859283,-170.0857,15.657164
tsf,2018-08-24,35568,-36.255966,-60.87337,-169.61159,15.899999
tsf,2018-09-05,35568,-30.433395,-55.12415,-163.69676,22.121553
tsf,2018-09-17,35568,-34.43081,-59.64509,-169.47522,18.39816
tsf,2018-09-29,35568,-35.430122,-62.49698,-178.80188,19.79277
tsf,2018-10-11,35568,-37.60692,-65.6368,-185.2584,19.25533
tsf,2018-10-23,35568,-42.153217,-71.828636,-199.43576,17.395716
tsf,2018-11-04,35568,-43.919422,-74.82584,-207.38864,17.634253
tsf,2018-11-16,35568,-40.455616,-71.38898,-202.01196,19.83094
tsf,2018-11-28,35568,-41.841805,-75.32005,-212.19681,19.697147
tsf,2018-12-10,35568,-44.783123,-79.902725,-221.71994,17.877262
tsf,2018-12-22,35568,-46.84175,-83.03976,-228.73969,16.979094
reference_1,2015-03-01,676,0.0,0.0,0.0,0.0
reference_1,2015-04-30,676,0.5603292,0.9001959,-9.858297,11.854221
reference_1,2015-05-24,676,1.9819435,2.0739326,-9.285143,13.88183
reference_1,2015-06-05,676,1.9196061,1.9425592,-11.137295,16.096794
reference_1,2015-06-17,676,4.1217804,4.9896436,-12.1475525,22.543537
reference_1,2015-06-29,676,1.2149419,1.3785797,-12.04982,14.590983
reference_1,2015-09-09,676,9.235524,7.159045,-17.34132,27.056347
reference_1,2015-09-21,676,12.080008,10.490223,-17.012024,34.938454
reference_1,2015-10-03,676,13.073059,11.754122,-12.221171,34.91409
reference_1,2015-10-15,676,19.134182,16.876858,-8.195883,39.52231
reference_1,2015-10-27,676,21.954395,20.331377,-5.9010105,45.512955
reference_1,2015-12-02,676,13.379995,12.774243,-10.855,35.247368
reference_1,2015-12-14,676,8.811918,7.6365337,-16.667767,30.457073
reference_1,2015-12-26,676,6.3448095,6.4060364,-16.422426,30.390247
reference_1,2016-01-07,676,9.213526,9.156326,-14.674154,32.101578
reference_1,2016-01-19,676,8.197903,7.687788,-16.350208,30.6397
reference_1,2016-01-31,676,9.735771,9.259571,-15.275301,32.307457
reference_1,2016-02-12,676,10.46287,10.36016,-12.798168,32.894855
reference_1,2016-02-24,676,7.347252,6.4623685,-17.391884,29.470356
reference_1,2016-03-07,676,14.071011,13.05973,-10.573889,35.174194
reference_1,2016-03-19,676,8.950938,8.799215,-14.950674,31.801743
reference_1,2016-03-31,676,11.137779,10.781165,-12.783243,33.541794
reference_1,2016-04-12,676,8.69732,8.215857,-14.9971,31.14911
reference_1,2016-04-24,676,7.493703,7.0027766,-16.544432,29.9622
reference_1,2016-05-06,676,9.848354,9.396358,-14.189861,32.978268
reference_1,2016-05-18,676,10.35042,9.957081,-14.586965,34.444862
reference_1,2016-05-30,676,10.810619,11.129905,-12.652683,35.615696
reference_1,2016-06-11,676,6.876857,7.6016073,-17.182339,34.213463
reference_1,2016-07-05,676,9.589372,10.192755,-12.841987,36.313408
reference_1,2016-07-17,676,7.166623,7.6584964,-17.072922,33.39361
reference_1,2016-07-29,676,4.197487,4.817241,-19.695341,30.14525
reference_1,2016-08-10,676,4.9345064,5.470521,-19.202187,31.194374
reference_1,2016-08-22,676,7.8581953,7.4129653,-17.331608,33.275993
reference_1,2016-09-03,676,3.7557821,4.0296855,-20.51184,29.419903
reference_1,2016-09-15,676,3.2109542,3.7753696,-22.116995,30.48059
reference_1,2016-09-27,676,3.685024,3.351223,-22.218502,29.99614
reference_1,2016-10-09,676,-2.3606474,-2.7334273,-30.91623,25.196503
reference_1,2016-10-15,676,3.958066,4.4310026,-23.207977,32.011642
reference_1,2016-10-21,676,1.6709518,1.7815505,-24.260237,28.763996
reference_1,2016-11-02,676,-1.0139234,-1.4567097,-28.128918,25.785015
reference_1,2016-11-14,676,-6.755616,-6.807948,-34.466846,20.936779
reference_1,2016-11-26,676,-5.6740313,-4.4506946,-30.977238,23.477745
reference_1,2016-12-08,676,-8.082558,-8.482763,-34.95398,18.833708
reference_1,2016-12-20,676,-1.0591862,-1.935999,-30.108145,26.616165
reference_1,2017-01-01,676,-2.7869658,-3.4449458,-30.197018,24.24031
reference_1,2017-01-13,676,-1.7422342,-2.2846007,-30.47718,25.068237
reference_1,2017-01-25,676,2.1234236,1.7735593,-24.672672,28.553883
reference_1,2017-02-06,676,4.521291,4.1682463,-21.248734,30.433128
reference_1,2017-02-18,676,2.8507292,2.9820495,-23.81696,29.42041
reference_1,2017-03-14,676,-0.8797989,-0.36212608,-28.214325,27.36328
reference_1,2017-03-26,676,0.706568,-0.28661063,-28.706823,28.645042
reference_1,2017-04-07,676,3.8872416,3.5167978,-23.99721,31.721817
reference_1,2017-04-19,676,1.4663143,1.5087917,-25.187267,28.584942
reference_1,2017-05-01,676,5.160382,4.296319,-26.28603,33.97155
reference_1,2017-05-13,676,4.141945,3.5474896,-27.804111,34.958572
reference_1,2017-05-25,676,6.0289907,5.581588,-24.251053,34.855267
reference_1,2017-06-06,676,5.243331,4.628782,-24.689735,33.83147
reference_1,2017-06-18,676,7.005603,6.753251,-21.874828,35.68657
reference_1,2017-06-30,676,5.1053486,4.5786495,-24.927204,32.88143
reference_1,2017-07-12,676,5.811473,5.206101,-24.320057,34.301224
reference_1,2017-07-24,676,4.32767,3.662782,-26.536976,32.835636
reference_1,2017-08-05,676,3.835307,2.9319065,-27.392685,32.37174
reference_1,2017-08-17,676,7.886578,6.566099,-23.874578,35.591003
reference_1,2017-08-29,676,5.146244,4.177351,-25.88269,33.33457
reference_1,2017-09-10,676,4.474696,4.196715,-24.780544,32.38262
reference_1,2017-09-22,676,3.3251882,2.5449648,-27.853039,31.387493
reference_1,2017-10-16,676,6.729985,5.789328,-23.92466,35.203556
reference_1,2017-10-28,676,-1.6788752,-2.620646,-31.90453,25.77504
reference_1,2017-11-09,676,1.1774797,-0.33043566,-30.318571,27.441746
reference_1,2017-11-21,676,-1.0140663,-2.140259,-30.724802,24.727451
reference_1,2017-12-03,676,4.9350095,3.1848671,-27.413593,33.73964
reference_1,2017-12-15,676,2.139257,0.21945208,-31.984531,29.817352
reference_1,2017-12-27,676,-0.7444233,-2.822371,-34.420612,25.26823
reference_1,2018-01-08,676,-0.005740041,-1.0747983,-31.219498,27.382538
reference_1,2018-01-20,676,0.6712893,-0.36989832,-30.156975,28.901482
reference_1,2018-02-01,676,-1.4556509,-2.8723278,-35.0914,27.061062
reference_1,2018-02-13,676,0.3002243,-1.0308666,-32.606155,28.395912
reference_1,2018-02-25,676,-2.275623,-3.0776737,-33.803726,28.07714
reference_1,2018-03-09,676,3.0800645,1.8245944,-29.8454,30.451344
reference_1,2018-03-21,676,1.1903977,0.28763503,-30.548866,30.974781
