date,pair_count
2015-03-01,1
2015-04-30,5
2015-05-24,3
2015-06-05,4
2015-06-17,2
2015-06-29,4
2015-09-09,5
2015-09-21,4
2015-10-03,5
2015-10-15,7
2015-10-27,6
2015-12-02,10
2015-12-14,10
2015-12-26,10
2016-01-07,10
2016-01-19,10
2016-01-31,11
2016-02-12,12
2016-02-24,12
2016-03-07,12
2016-03-19,12
2016-03-31,12
2016-04-12,11
2016-04-24,11
2016-05-06,11
2016-05-18,11
2016-05-30,11
2016-06-11,11
2016-07-05,11
2016-07-17,11
2016-07-29,12
2016-08-10,12
2016-08-22,11
2016-09-03,10
2016-09-15,13
2016-09-27,13
2016-10-09,12
2016-10-15,14
2016-10-21,13
2016-11-02,13
2016-11-14,13
2016-11-26,13
2016-12-08,13
2016-12-20,12
2017-01-01,12
2017-01-13,11
2017-01-25,11
2017-02-06,11
2017-02-18,11
2017-03-14,11
2017-03-26,11
2017-04-07,11
2017-04-19,11
2017-05-01,11
2017-05-13,11
2017-05-25,12
2017-06-06,12
2017-06-18,12
2017-06-30,12
2017-07-12,12
2017-07-24,11
2017-08-05,11
2017-08-17,11
2017-08-29,11
2017-09-10,11
2017-09-22,11
2017-10-16,11
2017-10-28,8
2017-11-09,11
2017-11-21,11
2017-12-03,10
2017-12-15,10
2017-12-27,11
2018-01-08,12
2018-01-20,12
2018-02-01,12
2018-02-13,12
2018-02-25,12
2018-03-09,12
2018-03-21,12
2018-04-02,12
2018-04-14,12
2018-04-26,12
2018-05-08,12
2018-05-20,12
2018-06-01,12
2018-06-13,12
2018-06-25,12
2018-07-07,12
2018-07-19,12
2018-07-31,12
2018-08-12,12
2018-08-24,12
2018-09-05,11
2018-09-17,12
2018-09-29,12
2018-10-11,12
2018-10-23,10
2018-11-04,10
2018-11-16,9
2018-11-28,8
2018-12-10,7
2018-12-22,6
