ref,rep,ref_baseline,rep_baseline,pair,baseline,duration,rel
2015-03-01,2015-04-30,-0.0,55.79,2015-03-01 2015-04-30,55.79,60,
2015-04-30,2015-05-24,55.79,82.38,2015-04-30 2015-05-24,26.59,24,
2015-04-30,2015-06-05,55.79,49.58,2015-04-30 2015-06-05,-6.210000000000001,36,
2015-04-30,2015-06-17,55.79,-81.33,2015-04-30 2015-06-17,-137.12,48,
2015-04-30,2015-06-29,55.79,80.94,2015-04-30 2015-06-29,25.15,60,
2015-05-24,2015-06-05,82.38,49.58,2015-05-24 2015-06-05,-32.8,12,
2015-05-24,2015-06-29,82.38,80.94,2015-05-24 2015-06-29,-1.4399999999999975,36,
2015-06-05,2015-06-17,49.58,-81.33,2015-06-05 2015-06-17,-130.91,12,
2015-06-05,2015-06-29,49.58,80.94,2015-06-05 2015-06-29,31.36,24,
2015-06-29,2015-09-09,80.94,19.1,2015-06-29 2015-09-09,-61.84,72,
2015-09-09,2015-09-21,19.1,67.48,2015-09-09 2015-09-21,48.38,12,
2015-09-09,2015-10-03,19.1,68.53,2015-09-09 2015-10-03,49.43,24,
2015-09-09,2015-10-15,19.1,-11.38,2015-09-09 2015-10-15,-30.480000000000004,36,
2015-09-09,2015-10-27,19.1,-109.27,2015-09-09 2015-10-27,-128.37,48,
2015-09-21,2015-10-03,67.48,68.53,2015-09-21 2015-10-03,1.0499999999999972,12,
2015-09-21,2015-10-15,67.48,-11.38,2015-09-21 2015-10-15,-78.86,24,
2015-09-21,2015-12-02,67.48,21.64,2015-09-21 2015-12-02,-45.84,72,
2015-10-03,2015-10-15,68.53,-11.38,2015-10-03 2015-10-15,-79.91,12,
2015-10-03,2015-12-02,68.53,21.64,2015-10-03 2015-12-02,-46.89,60,
2015-10-03,2015-12-14,68.53,2.9,2015-10-03 2015-12-14,-65.63,72,
2015-10-15,2015-10-27,-11.38,-109.27,2015-10-15 2015-10-27,-97.89,12,
2015-10-15,2015-12-02,-11.38,21.64,2015-10-15 2015-12-02,33.02,48,
2015-10-15,2015-12-14,-11.38,2.9,2015-10-15 2015-12-14,14.28,60,
2015-10-15,2015-12-26,-11.38,-45.19,2015-10-15 2015-12-26,-33.809999999999995,72,
2015-10-27,2015-12-02,-109.27,21.64,2015-10-27 2015-12-02,130.91,36,
2015-10-27,2015-12-14,-109.27,2.9,2015-10-27 2015-12-14,112.17,48,
2015-10-27,2015-12-26,-109.27,-45.19,2015-10-27 2015-12-26,64.08,60,
2015-10-27,2016-01-07,-109.27,-83.32,2015-10-27 2016-01-07,25.950000000000003,72,
2015-12-02,2015-12-14,21.64,2.9,2015-12-02 2015-12-14,-18.74,12,
2015-12-02,2015-12-26,21.64,-45.19,2015-12-02 2015-12-26,-66.83,24,
2015-12-02,2016-01-07,21.64,-83.32,2015-12-02 2016-01-07,-104.96,36,
2015-12-02,2016-01-19,21.64,-16.99,2015-12-02 2016-01-19,-38.63,48,
2015-12-02,2016-01-31,21.64,-19.54,2015-12-02 2016-01-31,-41.18,60,
2015-12-02,2016-02-12,21.64,-14.74,2015-12-02 2016-02-12,-36.38,72,
2015-12-14,2015-12-26,2.9,-45.19,2015-12-14 2015-12-26,-48.09,12,
2015-12-14,2016-01-07,2.9,-83.32,2015-12-14 2016-01-07,-86.22,24,
2015-12-14,2016-01-19,2.9,-16.99,2015-12-14 2016-01-19,-19.89,36,
2015-12-14,2016-01-31,2.9,-19.54,2015-12-14 2016-01-31,-22.44,48,
2015-12-14,2016-02-12,2.9,-14.74,2015-12-14 2016-02-12,-17.64,60,
2015-12-14,2016-02-24,2.9,-27.69,2015-12-14 2016-02-24,-30.59,72,
2015-12-26,2016-01-07,-45.19,-83.32,2015-12-26 2016-01-07,-38.13,12,
2015-12-26,2016-01-19,-45.19,-16.99,2015-12-26 2016-01-19,28.2,24,
2015-12-26,2016-01-31,-45.19,-19.54,2015-12-26 2016-01-31,25.65,36,
2015-12-26,2016-02-12,-45.19,-14.74,2015-12-26 2016-02-12,30.45,48,
2015-12-26,2016-02-24,-45.19,-27.69,2015-12-26 2016-02-24,17.499999999999996,60,
2015-12-26,2016-03-07,-45.19,-20.38,2015-12-26 2016-03-07,24.81,72,
2016-01-07,2016-01-19,-83.32,-16.99,2016-01-07 2016-01-19,66.33,12,
2016-01-07,2016-01-31,-83.32,-19.54,2016-01-07 2016-01-31,63.78,24,
