date,valid_slc_pixels
2015-03-01,852981
2015-04-30,520868
2015-05-24,520858
2015-06-05,520835
2015-06-17,520843
2015-06-29,520848
2015-09-09,520865
2015-09-21,520872
2015-10-03,520854
2015-10-15,520865
2015-10-27,520864
2015-12-02,520857
2015-12-14,520859
2015-12-26,520861
2016-01-07,520826
2016-01-19,520855
2016-01-31,520862
2016-02-12,520860
2016-02-24,520856
2016-03-07,520852
2016-03-19,520834
2016-03-31,520832
2016-04-12,520850
2016-04-24,520807
2016-05-06,520861
2016-05-18,520836
2016-05-30,520858
2016-06-11,520857
2016-07-05,520842
2016-07-17,520842
2016-07-29,520857
2016-08-10,520807
2016-08-22,520850
2016-09-03,520856
2016-09-15,520853
2016-09-27,520820
2016-10-09,520840
2016-10-15,520821
2016-10-21,520863
2016-11-02,520851
2016-11-14,520851
2016-11-26,520843
2016-12-08,520856
2016-12-20,520840
2017-01-01,520859
2017-01-13,520844
2017-01-25,520858
2017-02-06,520839
2017-02-18,520850
2017-03-14,520862
2017-03-26,520860
2017-04-07,520856
2017-04-19,520850
2017-05-01,520833
2017-05-13,520864
2017-05-25,520845
2017-06-06,520847
2017-06-18,520857
2017-06-30,520830
2017-07-12,520856
2017-07-24,520843
2017-08-05,520824
2017-08-17,520854
2017-08-29,520840
2017-09-10,520833
2017-09-22,520858
2017-10-04,0
2017-10-16,520852
2017-10-28,520855
2017-11-09,520852
2017-11-21,520844
2017-12-03,520846
2017-12-15,520863
2017-12-27,520852
2018-01-08,520864
2018-01-20,520855
2018-02-01,520855
2018-02-13,520853
2018-02-25,520871
2018-03-09,520847
2018-03-21,520864
2018-04-02,520851
2018-04-14,520856
2018-04-26,520838
2018-05-08,520839
2018-05-20,520857
2018-06-01,520850
2018-06-13,520867
2018-06-25,520869
2018-07-07,520879
2018-07-19,520851
2018-07-31,520854
2018-08-12,520856
2018-08-24,520858
2018-09-05,520851
2018-09-17,520846
2018-09-29,520854
2018-10-11,520866
2018-10-23,520861
2018-11-04,520874
2018-11-16,520860
2018-11-28,520873
2018-12-10,520862
2018-12-22,520862
