pair,ref,rep,reference_coherent,all_coherent,reference_max
2015-03-01 2015-04-30,2015-03-01,2015-04-30,5863,112923,0.90103877
2015-04-30 2015-05-24,2015-04-30,2015-05-24,6185,118912,0.9383729
2015-04-30 2015-06-05,2015-04-30,2015-06-05,5972,116080,0.9563261
2015-04-30 2015-06-17,2015-04-30,2015-06-17,5888,114753,0.91920155
2015-04-30 2015-06-29,2015-04-30,2015-06-29,5917,115574,0.90984297
2015-05-24 2015-06-05,2015-05-24,2015-06-05,6464,120770,0.94924235
2015-05-24 2015-06-29,2015-05-24,2015-06-29,6000,117698,0.9253346
2015-06-05 2015-06-17,2015-06-05,2015-06-17,6389,120442,0.97625923
2015-06-05 2015-06-29,2015-06-05,2015-06-29,6112,118550,0.9645504
2015-06-29 2015-09-09,2015-06-29,2015-09-09,5830,113865,0.90483665
2015-09-09 2015-09-21,2015-09-09,2015-09-21,5943,117296,0.9322195
2015-09-09 2015-10-03,2015-09-09,2015-10-03,5808,115060,0.88248795
2015-09-09 2015-10-15,2015-09-09,2015-10-15,5708,113304,0.90024215
2015-09-09 2015-10-27,2015-09-09,2015-10-27,5789,112939,0.89802253
2015-09-21 2015-10-03,2015-09-21,2015-10-03,5801,116571,0.91279215
2015-09-21 2015-10-15,2015-09-21,2015-10-15,5785,114263,0.86707246
2015-09-21 2015-12-02,2015-09-21,2015-12-02,5855,112877,0.8684759
2015-10-03 2015-10-15,2015-10-03,2015-10-15,5897,116034,0.93228614
2015-10-03 2015-12-02,2015-10-03,2015-12-02,5837,113312,0.90970546
2015-10-03 2015-12-14,2015-10-03,2015-12-14,5825,112842,0.88284636
2015-10-15 2015-10-27,2015-10-15,2015-10-27,5952,116671,0.9054943
2015-10-15 2015-12-02,2015-10-15,2015-12-02,5806,113252,0.8860498
2015-10-15 2015-12-14,2015-10-15,2015-12-14,5764,112654,0.86804545
2015-10-15 2015-12-26,2015-10-15,2015-12-26,5783,112203,0.8766428
2015-10-27 2015-12-02,2015-10-27,2015-12-02,5819,113517,0.86120814
2015-10-27 2015-12-14,2015-10-27,2015-12-14,5780,112908,0.85303813
2015-10-27 2015-12-26,2015-10-27,2015-12-26,5768,111944,0.87353885
2015-10-27 2016-01-07,2015-10-27,2016-01-07,5783,113047,0.8688286
2015-12-02 2015-12-14,2015-12-02,2015-12-14,6582,120855,0.9542788
2015-12-02 2015-12-26,2015-12-02,2015-12-26,5901,113791,0.87573624
2015-12-02 2016-01-07,2015-12-02,2016-01-07,6074,115728,0.9109738
2015-12-02 2016-01-19,2015-12-02,2016-01-19,6217,116733,0.97296005
2015-12-02 2016-01-31,2015-12-02,2016-01-31,5864,113496,0.8906816
2015-12-02 2016-02-12,2015-12-02,2016-02-12,5909,113754,0.9241791
2015-12-14 2015-12-26,2015-12-14,2015-12-26,5793,114366,0.87884426
2015-12-14 2016-01-07,2015-12-14,2016-01-07,6247,117375,0.94001615
2015-12-14 2016-01-19,2015-12-14,2016-01-19,6487,118624,0.9560402
2015-12-14 2016-01-31,2015-12-14,2016-01-31,5899,113877,0.91776145
2015-12-14 2016-02-12,2015-12-14,2016-02-12,6014,114393,0.91705406
2015-12-14 2016-02-24,2015-12-14,2016-02-24,6169,116017,0.9314159
2015-12-26 2016-01-07,2015-12-26,2016-01-07,5851,115956,0.906799
2015-12-26 2016-01-19,2015-12-26,2016-01-19,5874,114462,0.8771736
2015-12-26 2016-01-31,2015-12-26,2016-01-31,5840,113075,0.87676543
2015-12-26 2016-02-12,2015-12-26,2016-02-12,5835,112748,0.90952677
2015-12-26 2016-02-24,2015-12-26,2016-02-24,5840,112617,0.8605425
2015-12-26 2016-03-07,2015-12-26,2016-03-07,5759,112327,0.8979358
2016-01-07 2016-01-19,2016-01-07,2016-01-19,6377,119815,0.95104766
2016-01-07 2016-01-31,2016-01-07,2016-01-31,6035,115363,0.908545
2016-01-07 2016-02-12,2016-01-07,2016-02-12,5934,114657,0.9026411
2016-01-07 2016-02-24,2016-01-07,2016-02-24,6047,114914,0.9515049
2016-01-07 2016-03-07,2016-01-07,2016-03-07,6058,114618,0.93179744
2016-01-07 2016-03-19,2016-01-07,2016-03-19,6110,114636,0.9114776
2016-01-19 2016-01-31,2016-01-19,2016-01-31,6015,115887,0.92058104
2016-01-19 2016-02-12,2016-01-19,2016-02-12,6142,115980,0.93526
2016-01-19 2016-02-24,2016-01-19,2016-02-24,6374,117549,0.956969
2016-01-19 2016-03-07,2016-01-19,2016-03-07,6337,116899,0.94086504
2016-01-19 2016-03-19,2016-01-19,2016-03-19,5995,114328,0.9355561
2016-01-19 2016-03-31,2016-01-19,2016-03-31,6313,116653,0.94775116
2016-01-31 2016-02-12,2016-01-31,2016-02-12,6123,118250,0.92935675
2016-01-31 2016-02-24,2016-01-31,2016-02-24,6045,116482,0.9485564
